vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z
1.03528,-0.295151,0.318836,0.920845,-0.420657,0.110951,-0.798507,0.258848,1.43544,0.0306442,0.0911655,0.598023,-0.11444,-0.125506,-0.207885
0.924458,-0.268621,0.228502,0.921008,-0.420394,0.111117,-0.768823,0.169506,1.42914,0.038714,0.0549809,0.615411,-0.00345027,-0.151773,-0.117385
0.980248,-0.261763,0.343904,0.92171,-0.41988,0.11217,-0.764609,-0.119734,1.42334,0.0739152,0.0993329,0.514726,-0.0585373,-0.158118,-0.231734
1.01957,-0.291607,0.266783,0.921459,-0.420312,0.111852,-0.83038,-0.268921,1.42478,0.0928947,0.0903603,0.490064,-0.098116,-0.128705,-0.154931
0.899913,-0.380817,0.286157,0.921421,-0.420277,0.11194,-0.805055,-0.380894,1.41901,0.0917718,0.078794,0.455211,0.0215085,-0.0394603,-0.174217
0.889284,-0.35811,0.354983,0.92109,-0.420729,0.111585,-0.718738,-0.526262,1.40346,0.148627,0.0952075,0.371097,0.0318054,-0.0626191,-0.243398
0.922181,-0.36608,0.253878,0.921124,-0.420681,0.111578,-0.697155,-0.648718,1.39659,0.0990137,0.111027,0.331221,-0.00105679,-0.0546008,-0.142301
1.02541,-0.478657,0.330446,0.921127,-0.420735,0.111576,-0.716733,-0.799343,1.39407,0.155578,0.118799,0.157466,-0.104286,0.0579221,-0.21887
0.980084,-0.678009,0.28349,0.921173,-0.420772,0.111537,-0.679625,-0.900568,1.38717,0.140415,0.10189,-0.0538585,-0.0589118,0.257237,-0.171953
0.897132,-0.646802,0.231356,0.921019,-0.420474,0.111692,-0.587357,-0.958671,1.38178,0.1676,0.0347864,-0.240273,0.023887,0.226329,-0.119664
1.04052,-0.775175,0.353322,0.921036,-0.420458,0.111699,-0.529725,-0.992334,1.37474,0.189053,-0.016818,-0.472007,-0.119479,0.354716,-0.241623
1.04052,-0.775175,0.353322,0.921203,-0.419983,0.112137,-0.478623,-1.08619,1.36082,0.182575,-0.0270056,-0.650674,-0.119313,0.355192,-0.241184
1.13093,-0.31068,0.610089,0.921164,-0.420125,0.112101,-0.445263,-1.21171,1.35084,0.154353,0.0532976,-0.691061,-0.209763,-0.109444,-0.497987
1.08289,-0.376195,0.419785,0.921138,-0.420128,0.112084,-0.431791,-1.28792,1.35077,0.12927,0.0235307,-0.662278,-0.161749,-0.0439336,-0.307701
1.13069,-0.392556,0.458562,0.921136,-0.420133,0.112117,-0.436264,-1.3553,1.34832,0.0970192,0.0497176,-0.705508,-0.209554,-0.0275771,-0.346445
1.00561,-0.275039,0.379488,0.921155,-0.420103,0.112132,-0.440849,-1.44775,1.34871,0.166129,-0.0154306,-0.673194,-0.0844553,-0.145063,-0.267356
1.1183,-0.396794,0.463007,0.921144,-0.420726,0.111564,-0.431806,-1.50662,1.35092,0.112625,-0.0114283,-0.71657,-0.197159,-0.0239318,-0.351443
1.01455,-0.406915,0.454428,0.921158,-0.420733,0.111565,-0.362898,-1.50551,1.35076,0.101832,0.00892828,-0.739267,-0.0933937,-0.0138181,-0.342863
0.986514,-0.458075,0.446919,0.921098,-0.420778,0.111557,-0.25147,-1.48103,1.3497,0.134029,0.0698456,-2.33113,-0.0654162,0.0372975,-0.335362
-1.23986,-0.238538,0.380617,0.921094,-0.420673,0.111562,-0.140374,-1.47055,1.34229,0.132243,0.10161,-2.37058,2.16095,-0.182134,-0.269055
-1.10072,-0.364664,0.336378,0.921059,-0.420699,0.111568,-0.0598943,-1.43508,1.32876,0.146046,0.0366418,-0.826532,2.02178,-0.0560354,-0.22481
1.01525,-0.535969,0.435784,0.92111,-0.420758,0.111584,0.051933,-1.34858,1.31513,0.127259,0.015052,-0.903535,-0.0941414,0.115211,-0.3242
1.03062,-0.411784,0.50976,0.921071,-0.420743,0.111568,0.131885,-1.29446,1.30539,0.196058,0.0258579,-0.921687,-0.109554,-0.00895855,-0.398192
1.18571,-0.5164,0.576973,0.921046,-0.420757,0.111522,0.213247,-1.24795,1.28969,0.215984,0.0596533,-1.10432,-0.264663,0.0956428,-0.465451
1.07926,-0.386897,0.50821,0.921067,-0.420796,0.111454,0.297484,-1.22568,1.28637,0.215594,0.0417876,-1.16095,-0.158193,-0.0338983,-0.396756
1.05171,-0.239021,0.595552,0.921086,-0.420694,0.11155,0.340631,-1.23535,1.27044,0.249917,0.0799589,-1.1505,-0.130629,-0.181673,-0.484002
1.10572,-0.294888,0.549166,0.921089,-0.420765,0.111492,0.359154,-1.22843,1.27405,0.274141,0.0799049,-1.13444,-0.184627,-0.125877,-0.437674
1.14857,-0.329147,0.549595,0.921057,-0.42076,0.111529,0.345167,-1.19301,1.28171,0.245941,0.103724,-1.07602,-0.227511,-0.0916123,-0.438066
1.14856,-0.362539,0.520964,0.921162,-0.420199,0.111934,0.279125,-1.10227,1.27728,0.214468,0.181062,-0.975721,-0.227399,-0.0576597,-0.40903
1.14275,-0.44207,0.412642,0.921214,-0.420176,0.111996,0.192372,-1.01039,1.28834,-2.94088,-0.24097,-0.685006,-0.221541,0.0218947,-0.300646
0.674482,-0.155518,2.20556,0.921113,-0.42014,0.112037,0.183622,-0.880718,1.27636,0.195054,0.190776,-0.81753,0.246631,-0.264622,-2.09352
1.04716,-0.501789,0.458892,0.92111,-0.420556,0.11167,0.220356,-0.725669,1.25444,0.194422,0.21617,-0.682657,-0.126045,0.0812331,-0.347222
1.04669,-0.490846,0.410451,0.921063,-0.420525,0.111601,0.239039,-0.57361,1.26121,0.169539,0.249489,-0.55186,-0.125629,0.0703212,-0.29885
1.09545,-0.414029,0.374887,0.921293,-0.420236,0.111602,0.187812,-0.391496,1.27058,0.0280658,0.306852,-0.186471,-0.174153,-0.00620717,-0.263285
0.964699,-0.458711,0.276089,0.921046,-0.420498,0.110931,0.188035,-0.220273,1.27646,0.00593719,0.288422,0.0160292,-0.0436524,0.0382131,-0.165159
0.950586,-0.432706,0.309085,0.921547,-0.420737,0.111548,0.282407,-0.0420412,1.27202,-0.0850856,0.292543,0.287078,-0.0290395,0.0119695,-0.197537
1.04011,-0.409337,0.258113,0.922804,-0.420559,0.111027,0.360088,0.176432,1.29565,-0.165363,0.249799,0.612385,-0.117307,-0.0112222,-0.147085
1.09771,-0.353118,0.270932,0.92264,-0.420411,0.110956,0.386013,0.270411,1.3118,-0.173233,0.212784,0.771552,-0.175072,-0.0672929,-0.159975
1.10874,-0.397125,0.348229,0.92235,-0.420513,0.110538,0.384095,0.299506,1.31294,-0.182493,0.223229,0.828719,-0.186392,-0.0233883,-0.237691
1.0837,-0.406765,0.353144,0.922377,-0.42058,0.110486,0.385291,0.320315,1.31201,-0.197864,0.21622,0.853799,-0.161327,-0.013815,-0.242659
1.10369,-0.386234,0.347859,0.922266,-0.420463,0.110328,0.394263,0.332177,1.31426,-0.189779,0.198175,0.881349,-0.181424,-0.0342294,-0.237531
1.1132,-0.402619,0.350008,0.922607,-0.420306,0.110671,0.397035,0.349009,1.3135,-0.185001,0.202156,0.903839,-0.190594,-0.0176872,-0.239337
1.10017,-0.387891,0.330089,0.922492,-0.420208,0.110513,0.394047,0.363617,1.3211,-0.168332,0.189381,0.920235,-0.177676,-0.032317,-0.219576
